node_id,degree,neighbours
0,17,3271 594 10029 10928 6017 1988 5398 10586 38137 12718 35175 35101 2 45205 46126 46956 48189
1,31,1533 7198 395 13444 5793 3046 10711 6018 12854 10921 13370 11255 15359 5685 12719 22716 23094 23801 24176 24239 26372 28746 31691 34100 34355 35642 37089 38138 42596 45232 46114
2,28,8550 1572 4419 10183 5860 8979 21796 28310 32198 28499 10015 27152 20228 24240 33887 6044 22115 6027 8343 25043 0 43562 45875 45955 46541 47514 48149 48298
3,32,2345 9775 3194 217 4976 7133 943 994 471 140 8393 11742 377 9886 6080 12066 12584 12632 12815 15246 17026 17948 22813 24364 25589 29186 34364 36267 42638 43797 45903 49012
4,24,8 23748 448 9681 4955 22160 3993 21704 7775 3991 1043 27850 21936 8121 10025 11304 17379 28587 29142 38131 42274 43573 44139 44877
5,22,550 17392 24533 39728 11544 15942 12091 36077 21558 908 5394 10074 2870 489 22600 11304 3521 5882 38663 35963 43509 49696
6,32,1142 1189 846 7147 9836 7 5873 5717 8107 11 10925 10928 11017 11074 11123 11714 12466 15421 15999 16355 21521 22179 22198 23001 25750 29082 33996 35116 35185 42553 43705 44958
7,25,398 12188 3000 17305 7722 668 3993 4467 7816 5342 4843 5281 11100 8111 22061 22203 23401 25454 25764 25766 26138 28587 35226 44109 44958
8,19,34381 8212 8104 33533 25726 6536 953 26385 12719 23862 5743 22875 37011 21773 22589 38466 44709 44783 48038
9,22,10989 11815 5766 4159 4494 15943 17445 3154 11406 22654 25917 26115 29565 33967 35503 36378 36391 42638 43270 43418 47713 48991
10,19,4110 13447 4167 9703 5348 23252 14088 5650 16896 11272 16237 11309 23288 28030 31684 35432 43269 43555 44370
11,15,1415 3157 11816 21551 1195 10892 21700 14316 4876 36483 6 4924 25449 23 47047
12,10,971 32690 6819 22598 26136 9990 17168 26186 34638 42567
13,18,6167 6076 945 8023 7914 492 19 16 11272 14099 16896 17169 17616 18739 22622 22654 26018 42563
14,23,6061 4627 794 4837 2078 2803 17 6820 11010 11011 11021 11026 11041 11273 11296 11335 21759 25649 26135 32691 32744 36573 45220
15,27,576 582 50 3506 1629 422 17 3154 4617 4676 5235 5889 7787 9967 10836 11280 11307 11385 15456 18804 21731 22594 24082 26187 28715 33513 40424
16,31,8960 6187 5774 10041 5318 6169 9992 8784 24 5153 12687 13 3154 14100 14101 17166 17244 18803 22715 23918 25649 26043 26182 26410 26560 34636 42562 42569 44272 47197 47711
17,25,2203 2728 4074 6091 6077 3823 4945 16716 4640 17245 10 15697 4457 9950 18804 3358 9989 14 21264 22388 26017 26559 34842 44198 45201
18,32,2468 1120 1452 4861 866 1039 21 610 731 423 12 5159 5210 5247 5384 5809 5876 6064 6078 6798 6817 10040 11322 15196 24744 25650 26290 26803 28586 35781 39115 44566
19,14,608 2777 4209 1189 18786 1629 37479 22585 38477 24 25650 26209 43270 45774
20,15,15389 5378 4879 17493 11386 9 11072 422 9989 25649 38478 42775 44907 45201 45723
