builder,algo,n_parts,params_id,build_calc,merge_calc,total_calc,build_seconds,merge_seconds,recall@10,d_s@0.95
hnswmerger,CGTM,2,"M16,efc200,j15,l5,nsk3,sM5",254160691,47276736,301437427,12.120999999999999,3.529,0.9994,899.1898479087452
hnswmerger,CGTM,2,"M16,efc200,j20,l5,nsk3,sM3",254160691,52382645,306543336,12.120999999999999,4.036,0.9993,909.6038557835822
hnswmerger,CGTM,2,"M16,efc200,j40,l10,nsk6,sM40",254160691,59397399,313558090,12.120999999999999,4.753,0.9994,859.7061499999993
hnswmerger,CGTM,2,"M16,efc32,j15,l5,nsk3,sM5",55401521,35799648,91201169,2.406,2.832,0.995,880.3538973913037
hnswmerger,CGTM,2,"M16,efc64,j15,l5,nsk3,sM5",106527400,42188442,148715842,4.589,3.212,0.9983,885.0248672413794
hnswmerger,IGTM,2,"M16,efc200,j20,l5,nse3,nsk3,sM3",254160691,45136449,299297140,12.120999999999999,3.143,0.9992,914.7749068965513
hnswmerger,IGTM,2,"M16,efc200,j40,l10,nse6,nsk6,sM40",254160691,58943881,313104572,12.120999999999999,4.349,0.9994,840.7193153191484
hnswmerger,IGTM,2,"M16,efc200,j5,l7,nse3,nsk3,sM5",254160691,37424274,291584965,12.120999999999999,2.488,0.9992,894.4986117424239
hnswmerger,IGTM,2,"M16,efc200,j64,l5,nse3,nsk3,sM5",254160691,71016207,325176898,12.120999999999999,4.942,0.9992,893.2904263653478
hnswmerger,IGTM,2,"M16,efc32,j5,l7,nse3,nsk3,sM5",55401521,27249125,82650646,2.406,1.898,0.9940000000000001,897.1025502967357
hnswmerger,IGTM,2,"M16,efc64,j5,l7,nse3,nsk3,sM5",106527400,32969774,139497174,4.589,2.255,0.9982000000000001,885.4555132042249
hnswmerger,INSERT,1,"M16,efc200",280698647,0,280698647,18.066,0.0,,
hnswmerger,INSERT,1,"M16,efc32",60579690,0,60579690,3.475,0.0,,
hnswmerger,INSERT,1,"M16,efc64",117191123,0,117191123,6.754,0.0,,
hnswmerger,INSERT,1,"M32,efc64",125320036,0,125320036,7.818,0.0,,
hnswmerger,NGM,2,"M16,efc200,sef10",254160691,47185483,301346174,12.120999999999999,2.701,0.9993,792.5877314606739
hnswmerger,NGM,2,"M16,efc200,sef20",254160691,66180886,320341577,12.120999999999999,4.011,0.9994999999999999,682.3813236263719
hnswmerger,NGM,2,"M16,efc200,sef40",254160691,101600002,355760693,12.120999999999999,6.206,0.9997000000000001,705.6337760831886
hnswmerger,SIGM,2,"M16,efc200",254160691,153099590,407260281,12.120999999999999,11.556,,
hnswmerger,SIGM,2,"M16,efc200,sigm_efc16",254160691,23677252,277837943,12.120999999999999,1.487,,
hnswmerger,SIGM,2,"M16,efc200,sigm_efc32",254160691,39743544,293904235,12.120999999999999,2.503,,
hnswmerger,SIGM,2,"M16,efc200,sigm_efc48",254160691,54739663,308900354,12.120999999999999,3.667,,
hnswmerger,SIGM,2,"M16,efc32",55401521,32791086,88192607,2.406,2.264,,
hnswmerger,SIGM,2,"M16,efc64",106527400,63710375,170237775,4.589,4.416,,
hnswmerger,TWO_MERGE,2,"M16,efc200,lam1",254160691,7620091,261780782,12.120999999999999,0.326,0.9998,927.9480555275477
hnswmerger,TWO_MERGE,2,"M16,efc200,lam10",254160691,27547676,281708367,12.120999999999999,1.487,0.9998,845.7726915427982
hnswmerger,TWO_MERGE,2,"M16,efc200,lam2",254160691,10217593,264378284,12.120999999999999,0.462,0.9998,914.2056706875255
hnswmerger,TWO_MERGE,2,"M16,efc200,lam20",254160691,47654615,301815306,12.120999999999999,2.586,0.9998,799.1267273529409
hnswmerger,TWO_MERGE,2,"M16,efc200,lam4",254160691,14773071,268933762,12.120999999999999,0.752,0.9998,897.9514224480367
hnswmerger,TWO_MERGE,2,"M16,efc32,lam4",55401521,10460835,65862356,2.406,0.546,0.9982000000000001,913.9209257894735
hnswmerger,TWO_MERGE,2,"M16,efc64,lam4",106527400,12815220,119342620,4.589,0.665,0.9996,851.679029449838
hnswmerger,TWO_MERGE,2,"M32,efc64,lam4",114569116,13374430,127943546,5.261,0.677,0.9997000000000001,1009.785985540897
