builder,algo,n_parts,params_id,build_calc,merge_calc,total_calc,build_seconds,merge_seconds,recall@10,d_s@0.95
hnswmerger,CGTM,2,"M16,efc200,j15,l5,nsk3,sM5",42707266981,6646351186,49353618167,6957.344,5955.105,0.989,2720.952946886447
hnswmerger,CGTM,2,"M16,efc32,j15,l5,nsk3,sM5",9210526944,5059122928,14269649872,1240.223,5124.305,0.9546,4086.467233333331
hnswmerger,CGTM,2,"M16,efc64,j15,l5,nsk3,sM5",18282992074,6017285366,24300277440,2448.5699999999997,5457.559,0.9804,2842.638981818186
hnswmerger,IGTM,2,"M16,efc200,j5,l7,nse3,nsk3,sM5",42707266981,5023845875,47731112856,6957.344,1338.4,0.9882,2731.88685
hnswmerger,IGTM,2,"M16,efc32,j5,l7,nse3,nsk3,sM5",9210526944,3560915563,12771442507,1240.223,1155.354,0.9526,4158.245705405403
hnswmerger,IGTM,2,"M16,efc64,j5,l7,nse3,nsk3,sM5",18282992074,4435036322,22718028396,2448.5699999999997,1245.352,0.9789,2995.293656466871
hnswmerger,INSERT,1,"M16,efc200",45127233081,0,45127233081,8033.685,0.0,,
hnswmerger,INSERT,1,"M16,efc32",9721310055,0,9721310055,1560.406,0.0,,
hnswmerger,INSERT,1,"M16,efc64",19391767013,0,19391767013,2985.599,0.0,,
hnswmerger,NGM,2,"M16,efc200,sef10",42707266981,6648408028,49355675009,6957.344,1505.723,0.9894,2548.2908514970045
hnswmerger,NGM,2,"M16,efc200,sef20",42707266981,9144503019,51851770000,6957.344,2041.966,0.991,2398.827793706292
hnswmerger,SIGM,2,"M16,efc200",42707266981,23793012289,66500279270,6957.344,4388.387,,
hnswmerger,SIGM,2,"M16,efc32",9210526944,5136649649,14347176593,1240.223,851.265,,
hnswmerger,SIGM,2,"M16,efc64",18282992074,10279090042,28562082116,2448.5699999999997,1631.833,,
hnswmerger,TWO_MERGE,2,"M16,efc200,lam1",42707266981,1262889370,43970156351,6957.344,641.327,0.9924,2903.420468791207
hnswmerger,TWO_MERGE,2,"M16,efc200,lam10",42707266981,4001659736,46708926717,6957.344,1113.496,0.9941999999999999,2288.628735294116
hnswmerger,TWO_MERGE,2,"M16,efc200,lam20",42707266981,6345665984,49052932965,6957.344,1458.941,0.995,2096.5252062595396
hnswmerger,TWO_MERGE,2,"M16,efc200,lam4",42707266981,2338024543,45045291524,6957.344,822.21,0.9933,2616.261694791663
hnswmerger,TWO_MERGE,2,"M16,efc32,lam4",9210526944,1612875205,10823402149,1240.223,259.928,0.9718,3959.9836655172344
hnswmerger,TWO_MERGE,2,"M16,efc64,lam4",18282992074,2035051045,20318043119,2448.5699999999997,806.918,0.9883000000000001,2974.569893905188
