dataset,n,dim,m,ef_construction,threads,partition_method,n_parts,monolithic_build_calc,leaf_build_calc,leaf_build_ratio,budget_calc,budget_ratio,budget_per_point,leaf_mean_calc,leaf_min_calc,leaf_max_calc,leaf_cv
bigann10k,10000,128,16,200,1,range,1,19031205,19031205,1.0,0,0.0,0.0,19031205.0,19031205,19031205,0.0
bigann10k,10000,128,16,200,1,range,2,19031205,15868251,0.8338016956887385,3162954,0.16619830431126142,316.2954,7934125.5,7672509,8195742,0.04663168013167687
bigann10k,10000,128,16,200,1,range,4,19031205,12674641,0.6659925632664878,6356564,0.33400743673351213,635.6564,3168660.25,3088836,3260666,0.0286198351298227
bigann10k,10000,128,16,200,1,range,8,19031205,9583170,0.5035503532225101,9448035,0.49644964677748993,944.8035,1197896.25,1139648,1241144,0.026215354897341045
bigann10k,10000,128,16,200,1,range,16,19031205,6740999,0.3542076815419728,12290206,0.6457923184580272,1229.0206,421312.4375,403167,437003,0.02136382717336179
bigann100k,100000,128,16,200,1,range,1,280698647,280698647,1.0,0,0.0,0.0,280698647.0,280698647,280698647,0.0
bigann100k,100000,128,16,200,1,range,2,280698647,254160691,0.9054574851584518,26537956,0.0945425148415482,265.37956,127080345.5,126765599,127395092,0.0035026562703944124
bigann100k,100000,128,16,200,1,range,4,280698647,227389763,0.8100849983790623,53308884,0.18991500162093763,533.08884,56847440.75,55571357,57531838,0.015787958789233437
bigann100k,100000,128,16,200,1,range,8,280698647,198544257,0.7073217456584321,82154390,0.29267825434156797,821.5439,24818032.125,23543587,25836905,0.030112618978141936
bigann100k,100000,128,16,200,1,range,16,280698647,168528546,0.600389591475302,112170101,0.39961040852469804,1121.70101,10533034.125,9465145,11055820,0.03964171566169722
bigann1m,1000000,128,16,200,1,range,1,3722580816,3722580816,1.0,0,0.0,0.0,3722580816.0,3722580816,3722580816,0.0
bigann1m,1000000,128,16,200,1,range,2,3722580816,3446547442,0.9258489237322712,276033374,0.07415107626772877,276.033374,1723273721.0,1716019932,1730527510,0.0059528597560461315
bigann1m,1000000,128,16,200,1,range,4,3722580816,3192557499,0.8576193927820425,530023317,0.1423806072179576,530.023317,798139374.75,789521580,806405555,0.010148636095214107
bigann1m,1000000,128,16,200,1,range,8,3722580816,2925893695,0.7859852719447313,796687121,0.21401472805526864,796.687121,365736711.875,359302205,370890601,0.009644522566038843
bigann1m,1000000,128,16,200,1,range,16,3722580816,2653757501,0.7128810984019212,1068823315,0.28711890159807885,1068.823315,165859843.8125,159958656,170425960,0.018317371163531816
