dataset,n,m,ef_construction,threads,algorithm,n_parts,order,params,monolithic_build_calc,leaf_build_calc,budget_calc,merge_calc,merge_to_budget_ratio,total_calc,total_to_rebuild_ratio,net_advantage_calc,partition_wins
bigann10k,10000,16,200,1,IGTM,2,balanced,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",19031205,15868251,3162954,2921235,0.9235780855491417,18789486,0.987298807406047,241719,True
bigann10k,10000,16,200,1,CGTM,2,balanced,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",19031205,15868251,3162954,3591501,1.1354894823004065,19459752,1.0225181222103383,-428547,False
bigann10k,10000,16,200,1,NGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",19031205,15868251,3162954,7669388,2.4247548336144,23537639,1.2367918374059867,-4506434,False
bigann10k,10000,16,200,1,TWO_MERGE,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",19031205,15868251,3162954,1033751,0.3268308676003508,16902002,0.8881204316804953,2129203,True
bigann10k,10000,16,200,1,SIGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",19031205,15868251,3162954,10820637,3.4210541790996642,26688888,1.4023750992120572,-7657683,False
bigann100k,100000,16,200,1,IGTM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,58943881,2.221116087463556,313104572,1.1154473858222764,-32405925,False
bigann100k,100000,16,200,1,IGTM,2,balanced,"{""jump_ef"":20,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":3,""search_ef"":40}",280698647,254160691,26537956,45136449,1.7008261299400753,299297140,1.0662578647912044,-18598493,False
bigann100k,100000,16,200,1,IGTM,2,balanced,"{""jump_ef"":64,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",280698647,254160691,26537956,71016207,2.6760239937092365,325176898,1.1584555233000464,-44478251,False
bigann100k,100000,16,200,1,IGTM,2,balanced,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",280698647,254160691,26537956,37424274,1.4102168983926269,291584965,1.0387829372045387,-10886318,False
bigann100k,100000,16,200,1,CGTM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,59397399,2.2382054970623964,313558090,1.1170630615829082,-32859443,False
