method,ef,recall,d_s
Monolithic HNSW,10,0.6996,403.0124
Monolithic HNSW,50,0.9417,1059.7982
Monolithic HNSW,100,0.9804,1799.0543
Monolithic HNSW,200,0.9953,3132.6652
Monolithic HNSW,400,0.999,5486.878
Layerwise NN-Descent,10,0.69054,397.2257
Layerwise NN-Descent,50,0.93084,1058.2698
Layerwise NN-Descent,100,0.97373,1799.5327
Layerwise NN-Descent,200,0.99178,3139.105
Layerwise NN-Descent,400,0.9981,5506.2638
FastHNSW pg2,10,0.74368,448.9941
FastHNSW pg2,50,0.96195,1243.5439
FastHNSW pg2,100,0.98899,2129.1934
FastHNSW pg2,200,0.99749,3701.0641
FastHNSW pg2,400,0.99947,6431.5958
