builder,algo,n_parts,params_id,build_calc,merge_calc,total_calc,build_seconds,merge_seconds,recall@10,d_s@0.95
hnswmerger,CGTM,2,,3819545099,1189380571,5008925670,276.64099999999996,510.018,0.9205,
hnswmerger,CGTM,4,,3445211124,2134954526,5580165650,225.322,918.6759999999999,0.8906,
hnswmerger,CGTM,8,,3061406473,2955536433,6016942906,171.341,1221.191,0.8489999999999999,
hnswmerger,ES,2,,3819545099,498057216,4317602315,276.64099999999996,158.553,0.9382,
hnswmerger,IGTM,2,,3819545099,850412800,4669957899,276.64099999999996,358.582,0.9166,
hnswmerger,IGTM,4,,3445211124,1529365713,4974576837,225.322,630.717,0.8844,
hnswmerger,IGTM,8,,3061406473,2110665114,5172071587,171.341,837.76,0.8338,
hnswmerger,INSERT,1,,4175641669,0,4175641669,319.174,0.0,,
hnswmerger,NGM,2,,3819545099,1150311276,4969856375,276.64099999999996,495.777,0.9213999999999999,
hnswmerger,NGM,4,,3445211124,2066571555,5511782679,225.322,861.7729999999999,0.8893999999999999,
hnswmerger,NGM,8,,3061406473,2855606989,5917013462,171.341,1138.819,0.8664999999999999,
nndescent,NNDescent,1,,,,0,82.9049324990001,,0.9976,
hnswmerger,TWO_MERGE,2,,3819545099,0,3819545099,276.64099999999996,11.612,0.9488,
