regime,method,n_parts,ef,recall,d_s
efc200,Monolithic HNSW efc=200,1,10,0.6996,403.0124
efc200,Monolithic HNSW efc=200,1,50,0.9417,1059.7982
efc200,Monolithic HNSW efc=200,1,100,0.9804,1799.0543
efc200,Monolithic HNSW efc=200,1,200,0.9953,3132.6652
efc200,Monolithic HNSW efc=200,1,400,0.999,5486.878
fixed,Layerwise NN-Descent,1,10,0.69054,397.2257
fixed,Layerwise NN-Descent,1,50,0.93084,1058.2698
fixed,Layerwise NN-Descent,1,100,0.97373,1799.5327
fixed,Layerwise NN-Descent,1,200,0.99178,3139.105
fixed,Layerwise NN-Descent,1,400,0.9981,5506.2638
fixed,FastHNSW pg2,1,10,0.74368,448.9941
fixed,FastHNSW pg2,1,50,0.96195,1243.5439
fixed,FastHNSW pg2,1,100,0.98899,2129.1934
fixed,FastHNSW pg2,1,200,0.99749,3701.0641
fixed,FastHNSW pg2,1,400,0.99947,6431.5958
efc32,Monolithic HNSW efc=32,1,10,0.6084,336.9093
efc32,Monolithic HNSW efc=32,1,50,0.8808000000000001,840.7693
efc32,Monolithic HNSW efc=32,1,100,0.9426,1397.9225
efc32,Monolithic HNSW efc=32,1,200,0.9752,2410.6548
efc32,Monolithic HNSW efc=32,1,400,0.9906,4209.4948
efc200,IGTM,2,10,0.5483,311.5679
efc200,IGTM,2,50,0.8723,845.9994
efc200,IGTM,2,100,0.9501,1455.9476000000002
efc200,IGTM,2,200,0.9849,2585.9018
efc200,IGTM,2,400,0.9965,4624.9465
efc200,IGTM,4,10,0.4679,292.4933
efc200,IGTM,4,50,0.8106,807.6086
efc200,IGTM,4,100,0.9128,1391.4146
efc200,IGTM,4,200,0.9688,2490.8215
efc200,IGTM,4,400,0.9912,4495.6111
efc200,IGTM,8,10,0.4011,276.0166
efc200,IGTM,8,50,0.7376999999999999,767.3734
efc200,IGTM,8,100,0.8583,1321.8314
efc200,IGTM,8,200,0.9399000000000001,2377.0373
efc200,IGTM,8,400,0.9795000000000001,4324.446
efc200,IGTM,16,10,0.3465,262.0704
efc200,IGTM,16,50,0.6675999999999999,726.8253
efc200,IGTM,16,100,0.7959999999999999,1248.3333
efc200,IGTM,16,200,0.8953000000000001,2246.8401
efc200,IGTM,16,400,0.9568,4111.5071
efc200,CGTM,2,10,0.5375,311.4418
efc200,CGTM,2,50,0.872,852.3482
efc200,CGTM,2,100,0.9499999999999998,1466.3777
efc200,CGTM,2,200,0.9857999999999999,2605.3937
efc200,CGTM,2,400,0.9968,4659.1481
efc200,CGTM,4,10,0.4581,293.5162
efc200,CGTM,4,50,0.8130000000000001,816.7569
efc200,CGTM,4,100,0.9171999999999999,1408.2432
efc200,CGTM,4,200,0.9719000000000001,2521.1088
efc200,CGTM,4,400,0.9925,4548.6939
efc200,CGTM,8,10,0.3895,275.6049
efc200,CGTM,8,50,0.7418999999999999,775.4711000000001
efc200,CGTM,8,100,0.8667000000000001,1338.1409
efc200,CGTM,8,200,0.9466,2406.8963
efc200,CGTM,8,400,0.9831,4380.9133
efc200,CGTM,16,10,0.3448,261.1614
efc200,CGTM,16,50,0.6774999999999999,733.9616
efc200,CGTM,16,100,0.8097,1260.6319
efc200,CGTM,16,200,0.9101,2272.6203
efc200,CGTM,16,400,0.9647,4164.1524
efc200,NGM,2,10,0.5881,311.5924
efc200,NGM,2,50,0.8905,834.3022
efc200,NGM,2,100,0.956,1434.3899
efc200,NGM,2,200,0.9868,2543.7804
efc200,NGM,2,400,0.9969,4543.3567
efc200,NGM,4,10,0.5434,289.389
efc200,NGM,4,50,0.8544,778.6374
efc200,NGM,4,100,0.9345,1342.6667
efc200,NGM,4,200,0.9767,2394.2775
efc200,NGM,4,400,0.9931,4307.8231
efc200,NGM,8,10,0.5036,276.1674
efc200,NGM,8,50,0.8156,735.8127
