family,regime,method,n,n_parts,ef_construction,build_calc,merge_calc,total_calc,total_per_vector,total_vs_monolithic_same_regime,quality_available,reaches_recall_0_95,max_recall,d_s_at_0_95,construction_run_key,quality_run_key,source_file,quality_file,index_sha256
constructor,efc200,Monolithic HNSW efc=200,1000000,1,200,3722580816,0,3722580816,3722.580816,1,True,True,0.999,1218.34666589,f78a5c11f6d3,0be5387c56ce,results/build_budget_bigann.jsonl,results/hnsw_monolithic_quality_bigann1m.jsonl,4bc9522845cf3a3b9b4825ea79f39c75c6db64b914fa68039482f56fbac38a7d
constructor,fixed,Layerwise NN-Descent,1000000,1,,3314236807,0,3314236807,3314.236807,,True,True,0.9981,1389.40985978,2b7b88da94c0,e84e0ab47a1b,results/layerwise_nnd_hnsw_canonical_sift1m.jsonl,results/layerwise_nnd_hnsw_quality_sift1m.jsonl,f7d6358e8f45f9ec73d2ec462c6403de2f812d5db65ecc5f3dabf9ad0acfbde7
constructor,fixed,FastHNSW pg2,1000000,1,,9838110472,0,9838110472,9838.110472,,True,True,0.99947,1200.04332681,ee2470d409d0,1f66b3e6969a,results/fastkcna_canonical_sift1m.jsonl,results/fasthnsw_quality_sift1m.jsonl,762747662dc54d57aae1f5d08a2f1c13e51cf0d91338568de06f3c540e91ad6b
constructor,efc32,Monolithic HNSW efc=32,1000000,1,32,802236542,0,802236542,802.236542,1,True,True,0.9906,1627.80651902,47c974a56ced,60a7ea99af5b,results/build_budget_bigann_efc32.jsonl,results/secondary_canonical_bigann1m_efc32.jsonl,
merge,efc200,IGTM,1000000,2,200,3446547442,447264331,3893811773,3893.811773,1.04599791528,True,True,0.9965,1455.16360488,5ec0a94691e1,cc59553d2d51,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,IGTM,1000000,4,200,3192557499,766812048,3959369547,3959.369547,1.06360875498,True,True,0.9912,2121.73489786,7a8a195e63fe,7f19fbbcce20,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,IGTM,1000000,8,200,2925893695,1036331017,3962224712,3962.224712,1.06437574034,True,True,0.9795,2873.72487247,8e4a1b14350f,c2a8ff09e804,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,IGTM,1000000,16,200,2653757501,1252569282,3906326783,3906.326783,1.04935983289,True,True,0.9568,3905.3325374,097903138d30,029a9e4eefff,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,CGTM,1000000,2,200,3446547442,575069565,4021617007,4021.617007,1.08033034225,True,True,0.9968,1466.3777,5ec0a94691e1,c96792562a15,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,CGTM,1000000,4,200,3192557499,999936623,4192494122,4192.494122,1.12623320466,True,True,0.9925,2075.55566216,7a8a195e63fe,c9d0ef0b3d66,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,CGTM,1000000,8,200,2925893695,1369353297,4295246992,4295.246992,1.15383579412,True,True,0.9831,2590.77733562,8e4a1b14350f,f7063edd8191,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,CGTM,1000000,16,200,2653757501,1674955835,4328713336,4328.713336,1.16282588612,True,True,0.9647,3654.89375769,097903138d30,fbde6fef3d1a,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,NGM,1000000,2,200,3446547442,577916416,4024463858,4024.463858,1.08109509422,True,True,0.9969,1379.42003435,5ec0a94691e1,9eb587f50cee,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,NGM,1000000,4,200,3192557499,991850776,4184408275,4184.408275,1.12406109681,True,True,0.9931,1728.92185166,7a8a195e63fe,3f6ac6a165cf,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,NGM,1000000,8,200,2925893695,1346703496,4272597191,4272.597191,1.14775135912,True,True,0.9851,2071.29559668,8e4a1b14350f,7a3df3b7b760,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,NGM,1000000,16,200,2653757501,1639601655,4293359156,4293.359156,1.15332866315,True,True,0.974,2641.05130321,097903138d30,60eef0cd272b,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,HNSWMerger,1000000,2,200,3446547442,193966622,3640514064,3640.514064,0.977954339729,True,True,0.9986,1512.77455105,5ec0a94691e1,5daad962da48,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,HNSWMerger,1000000,4,200,3192557499,382508927,3575066426,3575.066426,0.960373085961,True,True,0.9981,1752.17034874,7a8a195e63fe,91713812db2f,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,HNSWMerger,1000000,8,200,2925893695,565414686,3491308381,3491.308381,0.937873092236,True,True,0.9971,1952.7120256,8e4a1b14350f,05cca29a380c,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc200,HNSWMerger,1000000,16,200,2653757501,732959381,3386716882,3386.716882,0.909776590328,True,True,0.9955,2354.26846104,097903138d30,00e47696a354,results/build_budget_bigann.jsonl,results/partition_bigann1m.jsonl,
merge,efc32,IGTM,1000000,2,32,739656444,323016381,1062672825,1062.672825,1.32463777124,True,True,0.9815,1934.815744,91aca802b6d0,33d203bebd4b,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,IGTM,1000000,4,32,691186084,563968866,1255154950,1255.15495,1.56456965532,True,True,0.973,2601.20831892,8a01d24c5cf9,6cb97640b8dd,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,IGTM,1000000,8,32,639357482,784246716,1423604198,1423.604198,1.77454419422,True,True,0.9576,3325.60989235,f4866d39d8bc,1d68e5689246,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,IGTM,1000000,16,32,581584279,976911597,1558495876,1558.495876,1.94268871387,True,False,0.9324,,897af163db13,e5825fb1508f,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
