builder,algo,n_parts,params_id,build_calc,merge_calc,total_calc,build_seconds,merge_seconds,recall@10,d_s@0.95
hnswmerger,CGTM,2,"M16,efc200,j15,l5,nsk3,sM5",254160691,47276736,301437427,12.144,3.523,0.9994,899.1898479087452
hnswmerger,CGTM,4,"M16,efc200,j15,l5,nsk3,sM5",227389763,77658238,305048001,9.474,5.349,0.9975,1055.233605141388
hnswmerger,CGTM,8,"M16,efc200,j15,l5,nsk3,sM5",198544257,101847655,300391912,8.284,6.2219999999999995,0.9932,1422.3738499036604
hnswmerger,CGTM,16,"M16,efc200,j15,l5,nsk3,sM5",168528546,121414559,289943105,7.207999999999999,6.877000000000001,0.9817,1645.9790162043794
hnswmerger,IGTM,2,"M16,efc200,j5,l7,nse3,nsk3,sM5",254160691,37424274,291584965,12.144,2.509,0.9992,894.4986117424239
hnswmerger,IGTM,4,"M16,efc200,j5,l7,nse3,nsk3,sM5",227389763,60779907,288169670,9.474,3.7720000000000002,0.9971,1057.9646549738216
hnswmerger,IGTM,8,"M16,efc200,j5,l7,nse3,nsk3,sM5",198544257,78827819,277372076,8.284,4.382,0.9908,1480.2099055658623
hnswmerger,IGTM,16,"M16,efc200,j5,l7,nse3,nsk3,sM5",168528546,93172967,261701513,7.207999999999999,4.796,0.977,1948.5192056338012
hnswmerger,INSERT,1,"M16,efc200",280698647,0,280698647,18.061,0.0,,
hnswmerger,NGM,2,"M16,efc200,sef10",254160691,47185483,301346174,12.144,2.796,0.9993,792.5877314606739
hnswmerger,NGM,4,"M16,efc200,sef10",227389763,77444047,304833810,9.474,3.939,0.9979,895.7569557522121
hnswmerger,NGM,8,"M16,efc200,sef10",198544257,101443232,299987489,8.284,4.68,0.9949,948.1914458715585
hnswmerger,NGM,16,"M16,efc200,sef10",168528546,122556574,291085120,7.207999999999999,5.303,0.9907,1158.8094708894885
hnswmerger,SIGM,2,"M16,efc200",254160691,153099590,407260281,12.144,11.446,,
hnswmerger,SIGM,4,"M16,efc200",227389763,223602165,450991928,9.474,15.442,,
hnswmerger,SIGM,8,"M16,efc200",198544257,255966126,454510383,8.284,16.798,,
hnswmerger,SIGM,16,"M16,efc200",168528546,269686653,438215199,7.207999999999999,17.232,,
hnswmerger,TWO_MERGE,2,"M16,efc200,lam4",254160691,14773071,268933762,12.144,0.751,0.9998,897.9514224480367
hnswmerger,TWO_MERGE,4,"M16,efc200,lam4",227389763,28602770,255992533,9.474,1.295,0.9998,943.8990232058443
hnswmerger,TWO_MERGE,8,"M16,efc200,lam4",198544257,41143962,239688219,8.284,1.682,0.9996,1058.0405598503733
hnswmerger,TWO_MERGE,16,"M16,efc200,lam4",168528546,52563979,221092525,7.207999999999999,2.1189999999999998,0.9993,1196.5641766738659
