builder,algo,n_parts,params_id,build_calc,merge_calc,total_calc,build_seconds,merge_seconds,recall@10,d_s@0.95
hnswmerger,CGTM,2,"M16,efc200,j15,l5,nsk3,sM5",3446547442,575069565,4021617007,326.59299999999996,58.159,0.9968,1466.3777000000036
hnswmerger,CGTM,4,"M16,efc200,j15,l5,nsk3,sM5",3192557499,999936623,4192494122,264.456,99.455,0.9925,2075.5556621572196
hnswmerger,CGTM,8,"M16,efc200,j15,l5,nsk3,sM5",2925893695,1369353297,4295246992,195.969,132.81,0.9831,2590.777335616436
hnswmerger,CGTM,16,"M16,efc200,j15,l5,nsk3,sM5",2653757501,1674955835,4328713336,132.989,162.03900000000002,0.9647,3654.8937576923063
hnswmerger,IGTM,2,"M16,efc200,j5,l7,nse3,nsk3,sM5",3446547442,447264331,3893811773,326.59299999999996,41.197,0.9965,1455.163604884319
hnswmerger,IGTM,4,"M16,efc200,j5,l7,nse3,nsk3,sM5",3192557499,766812048,3959369547,264.456,67.579,0.9912,2121.7348978571426
hnswmerger,IGTM,8,"M16,efc200,j5,l7,nse3,nsk3,sM5",2925893695,1036331017,3962224712,195.969,87.69,0.9795000000000001,2873.724872474741
hnswmerger,IGTM,16,"M16,efc200,j5,l7,nse3,nsk3,sM5",2653757501,1252569282,3906326783,132.989,103.504,0.9568,3905.3325373983726
hnswmerger,INSERT,1,"M16,efc200",3722580816,0,3722580816,395.413,0.0,,
hnswmerger,NGM,2,"M16,efc200,sef10",3446547442,577916416,4024463858,326.59299999999996,59.677,0.9969,1379.4200343511447
hnswmerger,NGM,4,"M16,efc200,sef10",3192557499,991850776,4184408275,264.456,101.17,0.9931,1728.9218516587666
hnswmerger,NGM,8,"M16,efc200,sef10",2925893695,1346703496,4272597191,195.969,129.86899999999997,0.9851,2071.2955966789664
hnswmerger,NGM,16,"M16,efc200,sef10",2653757501,1639601655,4293359156,132.989,145.54199999999997,0.9739999999999999,2641.051303207001
hnswmerger,SIGM,2,"M16,efc200",3446547442,1990723004,5437270446,326.59299999999996,245.356,,
hnswmerger,SIGM,4,"M16,efc200",3192557499,2925676609,6118234108,264.456,350.029,,
hnswmerger,SIGM,8,"M16,efc200",2925893695,3357612114,6283505809,195.969,395.685,,
hnswmerger,SIGM,16,"M16,efc200",2653757501,3554117433,6207874934,132.989,411.424,,
hnswmerger,TWO_MERGE,2,"M16,efc200,lam4",3446547442,193966622,3640514064,326.59299999999996,16.654,0.9986,1512.7745510460245
hnswmerger,TWO_MERGE,4,"M16,efc200,lam4",3192557499,382508927,3575066426,264.456,31.953000000000003,0.9981,1752.1703487394955
hnswmerger,TWO_MERGE,8,"M16,efc200,lam4",2925893695,565414686,3491308381,195.969,45.976,0.9971,1952.7120255977488
hnswmerger,TWO_MERGE,16,"M16,efc200,lam4",2653757501,732959381,3386716882,132.989,54.212,0.9955000000000002,2354.2684610421807
