builder,algo,n_parts,params_id,build_calc,merge_calc,total_calc,build_seconds,merge_seconds,recall@10,d_s@0.95
hnswmerger,CGTM,2,,3195426377,615522315,3810948692,69.389,73.858,0.9966,
hnswmerger,CGTM,4,,2888147173,1034406565,3922553738,59.955,114.628,0.9933,
hnswmerger,CGTM,8,,2596899944,1387243980,3984143924,51.791999999999994,146.143,0.9869,
hnswmerger,IGTM,2,,3195426377,587943813,3783370190,69.389,64.895,0.9966,
hnswmerger,IGTM,4,,2888147173,990056960,3878204133,59.955,102.162,0.9929,
hnswmerger,IGTM,8,,2596899944,1318018961,3914918905,51.791999999999994,133.22500000000002,0.9861999999999999,
hnswmerger,INSERT,1,,3503427787,0,3503427787,77.657,0.0,,
hnswmerger,NGM,2,,3195426377,1143009445,4338435822,69.389,131.981,0.9975,
hnswmerger,NGM,4,,2888147173,2006440192,4894587365,59.955,212.167,0.9960999999999999,
hnswmerger,NGM,8,,2596899944,2782155918,5379055862,51.791999999999994,277.929,0.9948,
hnswmerger,SIGM,2,,3195426377,1863773549,5059199926,69.389,222.515,,
hnswmerger,SIGM,4,,2888147173,2758736788,5646883961,59.955,320.563,,
hnswmerger,SIGM,8,,2596899944,3176251217,5773151161,51.791999999999994,364.23,,
