dataset_family,builder,dim,m,ef_construction,threads,algorithm,n_parts,partition_method,order,params,label,alpha,beta,r_squared,rmse_per_point,observations,n_min,n_max,build_beta,build_budget_per_point,crossover_n,crossover_interpretation
bigann,hnswmerger,128,16,200,1,IGTM,2,range,balanced,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",bigann:merge:IGTM:M=16:efc=200:P=2,16.911120199999903,30.56585642117767,0.9925415695360369,6.821134829107713,4,10000,10000000,379.7645870680799,263.2327528027514,3161.2364123092952,model predicts a win below N* and a loss above N*
bigann,hnswmerger,128,16,200,1,CGTM,2,range,balanced,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",bigann:merge:CGTM:M=16:efc=200:P=2,-42.41095753999985,44.2440656764312,0.9972189153940801,6.015026849569658,4,10000,10000000,379.7645870680799,263.2327528027514,1000.3737267710543,model predicts a win below N* and a loss above N*
bigann,hnswmerger,128,16,200,1,NGM,2,range,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",bigann:merge:NGM:M=16:efc=200:P=2,-229.30607999999896,108.16591350209173,1.0,1.6077746776921858e-13,2,10000,100000,379.7645870680799,263.2327528027514,94.96889538910384,model predicts a win below N* and a loss above N*
bigann,hnswmerger,128,16,200,1,NGM,2,range,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":20}",bigann:merge:NGM:M=16:efc=200:P=2,34.936792933333784,54.86039205862546,0.9958086631072105,6.691404762649422,3,100000,10000000,379.7645870680799,263.2327528027514,64.1611970833121,model predicts a win below N* and a loss above N*
bigann,hnswmerger,128,16,200,1,NGM,2,range,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":10}",bigann:merge:NGM:M=16:efc=200:P=2,-7.420568799999978,41.90637153588552,0.9967328971554001,4.510681109079283,3,100000,10000000,379.7645870680799,263.2327528027514,638.1187309825215,model predicts a win below N* and a loss above N*
bigann,hnswmerger,128,16,200,1,TWO_MERGE,2,range,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":1,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",bigann:merge:TWO_MERGE:M=16:efc=200:P=2,-48.899160333333235,10.876476867760536,0.9999311307316443,0.16970162054636123,3,100000,10000000,379.7645870680799,263.2327528027514,2906259078186.597,model predicts a win below N* and a loss above N*
bigann,hnswmerger,128,16,200,1,TWO_MERGE,2,range,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",bigann:merge:TWO_MERGE:M=16:efc=200:P=2,-70.91616461999989,19.00116422325554,0.9991090125734471,1.4607646686957443,4,10000,10000000,379.7645870680799,263.2327528027514,43388611.851240575,model predicts a win below N* and a loss above N*
bigann,hnswmerger,128,16,200,1,TWO_MERGE,2,range,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":10,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",bigann:merge:TWO_MERGE:M=16:efc=200:P=2,-33.285547599999454,27.075918709667913,0.9932796550331146,4.187099429356094,3,100000,10000000,379.7645870680799,263.2327528027514,57031.90792056675,model predicts a win below N* and a loss above N*
bigann,hnswmerger,128,16,200,1,TWO_MERGE,2,range,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":20,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",bigann:merge:TWO_MERGE:M=16:efc=200:P=2,86.30836393333335,34.31370438399876,0.9889887108680293,6.807083542964236,3,100000,10000000,379.7645870680799,263.2327528027514,173.48399744566052,model predicts a win below N* and a loss above N*
bigann,hnswmerger,128,16,200,1,SIGM,2,range,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",bigann:merge:SIGM:M=16:efc=200:P=2,-647.5208716599993,188.98062460058026,0.9986852397641258,17.65212279748434,4,10000,10000000,379.7645870680799,263.2327528027514,123.87788693891616,model predicts a win below N* and a loss above N*
bigann,hnswmerger,128,16,64,1,IGTM,2,range,balanced,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",bigann:merge:IGTM:M=16:efc=64:P=2,48.53133779999974,24.712635495268174,0.9897193662931831,4.735251293137651,3,100000,10000000,166.6095801702439,115.48496074928073,15.018563987156032,model predicts a win below N* and a loss above N*
bigann,hnswmerger,128,16,32,1,IGTM,2,range,balanced,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",bigann:merge:IGTM:M=16:efc=32:P=2,66.39881020000038,18.153575855755804,0.9856850500098072,4.112994002291637,3,100000,10000000,79.54844027580678,55.138777095116666,0.5378017419198519,model predicts a win below N* and a loss above N*
