dataset,n,dim,builder,algorithm,n_parts,m,ef_construction,threads,params,mono_build_calc,partition_build_calc,merge_calc,partition_total_calc,build_saving_calc,net_advantage_calc,merge_to_budget_ratio,partition_wins,run_key,build_saving_per_point,merge_per_point,net_advantage_per_point
bigann100k,100000,128,hnswmerger,CGTM,2,16,32,1,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",60579690,55401521,35799648,91201169,5178169,-30621479,6.913572731983062,False,663ded3c02b8,51.78169,357.99648,-306.21479
bigann100k,100000,128,hnswmerger,IGTM,2,16,32,1,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",60579690,55401521,27249125,82650646,5178169,-22070956,5.262308935841993,False,bc3680d87c4a,51.78169,272.49125,-220.70956
bigann100k,100000,128,hnswmerger,SIGM,2,16,32,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",60579690,55401521,32791086,88192607,5178169,-27612917,6.332563885033493,False,989d8faefdae,51.78169,327.91086,-276.12917
bigann100k,100000,128,hnswmerger,TWO_MERGE,2,16,32,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",60579690,55401521,10460835,65862356,5178169,-5282666,2.0201802992524964,False,00f67c319904,51.78169,104.60835,-52.82666
bigann100k,100000,128,hnswmerger,CGTM,2,16,64,1,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",117191123,106527400,42188442,148715842,10663723,-31524719,3.956258241141485,False,c8871ac865fd,106.63723,421.88442,-315.24719
bigann100k,100000,128,hnswmerger,IGTM,2,16,64,1,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",117191123,106527400,32969774,139497174,10663723,-22306051,3.091769544276422,False,de0f7d99546b,106.63723,329.69774,-223.06051
bigann100k,100000,128,hnswmerger,SIGM,2,16,64,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",117191123,106527400,63710375,170237775,10663723,-53046652,5.974496430561822,False,b5186b1d411d,106.63723,637.10375,-530.46652
bigann100k,100000,128,hnswmerger,TWO_MERGE,2,16,64,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",117191123,106527400,12815220,119342620,10663723,-2151497,1.2017585227973382,False,6f9920605c21,106.63723,128.1522,-21.51497
bigann100k,100000,128,hnswmerger,TWO_MERGE,2,32,64,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",125320036,114569116,13374430,127943546,10750920,-2623510,1.2440265577271528,False,9795b80916ff,107.5092,133.7443,-26.2351
bigann100k,100000,128,hnswmerger,CGTM,2,16,200,1,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",280698647,254160691,47276736,301437427,26537956,-20738780,1.7814761619169164,False,38d79784231b,265.37956,472.76736,-207.3878
